geocell_id,country,cluster_id,count,indices,centroid_lat,centroid_lng
0,Ukraine,-1,8,"[150605, 150807, 163437, 163442, 196633, 163439, 163441, 163444]",50.360867149021075,30.626538473874145
0,Ukraine,0,5,"[163443, 163446, 86489, 150702, 150802]",50.360867149021075,30.626538473874145
0,Ukraine,1,9,"[150600, 150604, 150700, 150701, 150799, 150800, 150803, 197342, 197343]",50.360867149021075,30.626538473874145
0,Ukraine,2,17,"[150601, 150602, 150606, 150608, 150610, 150611, 150615, 150624, 150635, 150708, 150711, 150718, 150721, 150722, 150804, 150809, 163448]",50.360867149021075,30.626538473874145
1,Ukraine,0,6,"[86771, 86422, 86440, 163833, 163835, 196550]",48.495001172980665,32.234621607556015
1,Ukraine,1,9,"[86756, 86398, 86400, 86741, 86743, 86949, 163914, 163916, 86725]",48.495001172980665,32.234621607556015
1,Ukraine,-1,9,"[86567, 86940, 86549, 86551, 86717, 86576, 86578, 86421, 86925]",48.495001172980665,32.234621607556015
1,Ukraine,2,6,"[86586, 86768, 86968, 86975, 86412, 86954]",48.495001172980665,32.234621607556015
2,Ukraine,-1,13,"[86445, 86453, 86589, 86775, 86619, 86797, 86450, 86628, 86817, 86441, 86596, 86782, 163836]",49.54261578719626,32.343047569459344
2,Ukraine,3,10,"[86457, 87005, 86605, 163639, 86468, 87017, 163546, 86484, 163544, 86474]",49.54261578719626,32.343047569459344
2,Ukraine,0,7,"[86772, 86977, 163831, 86597, 86606, 86992, 86994]",49.54261578719626,32.343047569459344
2,Ukraine,2,9,"[86458, 86792, 86793, 87003, 86987, 163739, 163731, 163732, 163738]",49.54261578719626,32.343047569459344
2,Ukraine,1,6,"[86615, 87002, 86795, 86796, 86618, 86805]",49.54261578719626,32.343047569459344
3,Ukraine,0,17,"[86657, 163259, 163260, 163348, 163349, 163352, 86651, 86653, 86844, 86845, 86515, 163258, 86483, 163434, 86635, 86637, 163428]",50.69209712387505,32.28360851729438
4,Ukraine,0,15,"[86871, 86529, 86681, 86674, 163171, 163172, 163173, 197263, 197264, 86672, 86859, 86864, 163174, 163175, 86868]",51.70609220068102,31.287992134083602
5,Ukraine,0,5,"[86387, 86726, 86391, 86727, 86937]",48.10770302746077,25.55364122529372
5,Ukraine,1,9,"[86390, 86722, 86922, 86928, 86933, 164020, 86723, 164014, 164019]",48.10770302746077,25.55364122529372
6,Ukraine,0,18,"[86883, 86882, 86531, 86687, 86689, 86878, 86880, 86360, 86356, 86359, 86530, 86690, 86881, 86362, 86688, 86685, 86876, 86877]",45.17987264252265,35.18444361437117
7,Ukraine,-1,2,"[86579, 86588]",48.69483133631231,34.96916315070533
7,Ukraine,0,5,"[163908, 163909, 163912, 86392, 86403]",48.69483133631231,34.96916315070533
7,Ukraine,1,19,"[86568, 86950, 151411, 151413, 151414, 151496, 151507, 151509, 151510, 151546, 151549, 151550, 151551, 151552, 151553, 151554, 151555, 163918, 163919]",48.69483133631231,34.96916315070533
8,Ukraine,0,10,"[86384, 86927, 151730, 151731, 151732, 151733, 151787, 151788, 151789, 151797]",48.17681305855069,37.73508098551684
9,Ukraine,-1,24,"[86941, 86436, 86721, 86729, 86924, 197330, 197331, 86719, 86728, 196624, 86408, 86385, 86386, 86915, 86572, 86573, 86754, 86967, 86969, 163820, 86733, 86738, 86938, 86952]",48.4203901363536,24.219048067154972
9,Ukraine,0,5,"[86395, 86944, 86563, 86932, 86945]",48.4203901363536,24.219048067154972
9,Ukraine,1,5,"[86580, 86749, 86953, 86409, 86957]",48.4203901363536,24.219048067154972
9,Ukraine,2,8,"[86762, 163813, 163814, 163815, 163816, 163817, 197334, 86759]",48.4203901363536,24.219048067154972
10,Ukraine,0,7,"[86418, 86419, 86407, 86571, 86574, 86752, 86958]",48.73969201710866,25.323692101036254
10,Ukraine,-1,7,"[163902, 164023, 86413, 86946, 163917, 196549, 163825]",48.73969201710866,25.323692101036254
11,Ukraine,0,5,"[86479, 86480, 86828, 86834, 163549]",50.16363046057683,36.044883942084034
11,Ukraine,-1,11,"[86626, 86826, 86477, 86625, 86634, 86814, 86819, 87016, 163525, 163526, 163645]",50.16363046057683,36.044883942084034
